Violation Precinct,Issue Date,count
0,2014-01-31,1198
0,2014-02-28,1237
0,2014-03-31,1595
0,2014-04-30,1325
0,2014-05-31,1229
0,2014-06-30,1218
0,2014-07-31,1083
0,2014-08-31,1365
0,2014-09-30,1178
0,2014-10-31,1005
0,2014-11-30,999
0,2014-12-31,1252
0,2015-01-31,1194
0,2015-02-28,919
0,2015-03-31,1077
0,2015-04-30,980
0,2015-05-31,834
0,2015-06-30,1210
0,2015-07-31,829
0,2015-08-31,758
0,2015-09-30,677
0,2015-10-31,715
0,2015-11-30,692
0,2015-12-31,714
0,2016-01-31,816
0,2016-02-29,859
0,2016-03-31,869
0,2016-04-30,807
0,2016-05-31,651
0,2016-06-30,715
0,2016-07-31,823
0,2016-08-31,749
0,2016-09-30,692
0,2016-10-31,786
0,2016-11-30,645
0,2016-12-31,665
0,2017-01-31,601
0,2017-02-28,687
0,2017-03-31,765
0,2017-04-30,785
0,2017-05-31,821
0,2017-06-30,271
0,2017-07-31,8
0,2017-08-31,1
0,2017-09-30,4
0,2017-10-31,4
0,2017-11-30,3
0,2017-12-31,5
1,2014-01-31,3452
1,2014-02-28,3758
1,2014-03-31,3763
1,2014-04-30,4209
1,2014-05-31,3785
1,2014-06-30,3789
1,2014-07-31,3967
1,2014-08-31,4198
1,2014-09-30,4111
1,2014-10-31,3969
1,2014-11-30,3829
1,2014-12-31,3306
1,2015-01-31,5558
1,2015-02-28,3231
1,2015-03-31,3715
1,2015-04-30,3650
1,2015-05-31,3427
1,2015-06-30,5036
1,2015-07-31,4095
1,2015-08-31,4360
1,2015-09-30,3535
1,2015-10-31,3964
1,2015-11-30,3391
1,2015-12-31,2815
1,2016-01-31,3632
1,2016-02-29,4092
1,2016-03-31,4126
1,2016-04-30,3766
1,2016-05-31,3936
1,2016-06-30,3686
1,2016-07-31,3363
1,2016-08-31,3660
1,2016-09-30,3933
1,2016-10-31,4417
1,2016-11-30,3729
1,2016-12-31,3198
1,2017-01-31,4136
1,2017-02-28,4045
1,2017-03-31,4391
1,2017-04-30,3988
1,2017-05-31,3929
1,2017-06-30,2474
1,2017-07-31,15
1,2017-08-31,10
1,2017-09-30,9
1,2017-10-31,6
1,2017-11-30,2
1,2017-12-31,4
2,2014-01-31,17
2,2014-02-28,18
2,2014-03-31,19
2,2014-04-30,18
2,2014-05-31,21
2,2014-06-30,20
2,2014-07-31,22
2,2014-08-31,20
2,2014-09-30,18
2,2014-10-31,8
2,2014-11-30,15
2,2014-12-31,13
2,2015-01-31,20
2,2015-02-28,40
2,2015-03-31,21
2,2015-04-30,15
2,2015-05-31,20
2,2015-06-30,17
2,2015-07-31,28
2,2015-08-31,19
2,2015-09-30,10
2,2015-10-31,15
2,2015-11-30,13
2,2015-12-31,15
2,2016-01-31,27
2,2016-02-29,48
2,2016-03-31,39
2,2016-04-30,74
2,2016-05-31,47
2,2016-06-30,35
2,2016-07-31,19
2,2016-08-31,13
2,2016-09-30,15
2,2016-10-31,24
2,2016-11-30,9
2,2016-12-31,5
2,2017-01-31,17
2,2017-02-28,17
2,2017-03-31,6
2,2017-04-30,11
2,2017-05-31,11
2,2017-06-30,4
2,2017-07-31,1
2,2017-10-31,1
3,2014-01-31,9
3,2014-02-28,12
3,2014-03-31,16
3,2014-04-30,16
3,2014-05-31,18
3,2014-06-30,15
3,2014-07-31,27
3,2014-08-31,17
3,2014-09-30,18
3,2014-10-31,8
3,2014-11-30,13
3,2014-12-31,22
3,2015-01-31,12
3,2015-02-28,14
3,2015-03-31,14
3,2015-04-30,11
3,2015-05-31,11
3,2015-06-30,12
3,2015-07-31,15
3,2015-08-31,6
3,2015-09-30,11
3,2015-10-31,7
3,2015-11-30,4
3,2015-12-31,10
3,2016-01-31,18
3,2016-02-29,21
3,2016-03-31,12
3,2016-04-30,9
3,2016-05-31,6
3,2016-06-30,8
3,2016-07-31,3
3,2016-08-31,5
3,2016-09-30,5
3,2016-10-31,7
3,2016-11-30,4
3,2016-12-31,5
3,2017-01-31,10
3,2017-02-28,4
3,2017-03-31,7
3,2017-04-30,7
3,2017-05-31,12
3,2017-06-30,3
4,2014-01-31,18
4,2014-02-28,13
4,2014-03-31,18
4,2014-04-30,23
4,2014-05-31,14
4,2014-06-30,15
4,2014-07-31,15
4,2014-08-31,14
4,2014-09-30,24
4,2014-10-31,18
4,2014-11-30,21
4,2014-12-31,5
4,2015-01-31,29
4,2015-02-28,26
4,2015-03-31,17
4,2015-04-30,8
4,2015-05-31,9
4,2015-06-30,24
4,2015-07-31,14
4,2015-08-31,9
4,2015-09-30,5
4,2015-10-31,11
4,2015-11-30,8
4,2015-12-31,26
4,2016-01-31,18
4,2016-02-29,28
4,2016-03-31,11
4,2016-04-30,13
4,2016-05-31,8
4,2016-06-30,9
4,2016-07-31,9
4,2016-08-31,4
4,2016-09-30,10
4,2016-10-31,7
4,2016-11-30,9
4,2016-12-31,7
4,2017-01-31,15
4,2017-02-28,12
4,2017-03-31,12
4,2017-04-30,4
4,2017-05-31,8
4,2017-06-30,6
5,2014-01-31,2087
5,2014-02-28,1876
5,2014-03-31,2183
5,2014-04-30,2313
5,2014-05-31,2187
5,2014-06-30,2299
5,2014-07-31,2363
5,2014-08-31,2597
5,2014-09-30,2650
5,2014-10-31,2387
5,2014-11-30,2184
5,2014-12-31,1798
5,2015-01-31,3422
5,2015-02-28,2172
5,2015-03-31,1945
5,2015-04-30,2200
5,2015-05-31,1833
5,2015-06-30,2527
5,2015-07-31,1702
5,2015-08-31,2207
5,2015-09-30,1980
5,2015-10-31,1990
5,2015-11-30,2021
5,2015-12-31,1483
5,2016-01-31,1868
5,2016-02-29,2105
5,2016-03-31,2300
5,2016-04-30,2280
5,2016-05-31,2041
5,2016-06-30,1741
5,2016-07-31,1748
5,2016-08-31,2112
5,2016-09-30,2499
5,2016-10-31,2289
5,2016-11-30,1895
5,2016-12-31,1800
5,2017-01-31,2084
5,2017-02-28,1872
5,2017-03-31,2075
