Violation Precinct,Issue Date,count,day,month,year,dayofweek
0,2013-01-02,2,2,1,2013,2
0,2013-01-03,1,3,1,2013,3
0,2013-01-04,1,4,1,2013,4
0,2013-01-05,1,5,1,2013,5
0,2013-01-06,2,6,1,2013,6
0,2013-01-07,4,7,1,2013,0
0,2013-01-08,1,8,1,2013,1
0,2013-01-09,6,9,1,2013,2
0,2013-01-12,2,12,1,2013,5
0,2013-01-13,1,13,1,2013,6
0,2013-01-14,4,14,1,2013,0
0,2013-01-15,1,15,1,2013,1
0,2013-01-16,1,16,1,2013,2
0,2013-01-17,1,17,1,2013,3
0,2013-01-19,1,19,1,2013,5
0,2013-01-23,1,23,1,2013,2
0,2013-01-25,1,25,1,2013,4
0,2013-01-29,2,29,1,2013,1
0,2013-02-04,1,4,2,2013,0
0,2013-02-12,1,12,2,2013,1
0,2013-02-15,1,15,2,2013,4
0,2013-02-26,2,26,2,2013,1
0,2013-03-03,2,3,3,2013,6
0,2013-03-06,1,6,3,2013,2
0,2013-03-11,1,11,3,2013,0
0,2013-03-20,1,20,3,2013,2
0,2013-03-21,1,21,3,2013,3
0,2013-03-23,1,23,3,2013,5
0,2013-03-24,1,24,3,2013,6
0,2013-03-26,1,26,3,2013,1
0,2013-03-28,1,28,3,2013,3
0,2013-03-30,2,30,3,2013,5
0,2013-04-03,2,3,4,2013,2
0,2013-04-04,1,4,4,2013,3
0,2013-04-06,1,6,4,2013,5
0,2013-04-07,1,7,4,2013,6
0,2013-04-10,1,10,4,2013,2
0,2013-04-11,1,11,4,2013,3
0,2013-04-27,1,27,4,2013,5
0,2013-05-09,1,9,5,2013,3
0,2013-05-11,1,11,5,2013,5
0,2013-05-15,1,15,5,2013,2
0,2013-05-21,1,21,5,2013,1
0,2013-05-24,1,24,5,2013,4
0,2013-06-07,1,7,6,2013,4
0,2013-06-09,1,9,6,2013,6
0,2013-06-14,2,14,6,2013,4
0,2013-06-17,2,17,6,2013,0
0,2013-06-18,1,18,6,2013,1
0,2013-06-19,1,19,6,2013,2
0,2013-06-20,1,20,6,2013,3
0,2013-06-21,2,21,6,2013,4
0,2013-06-24,1,24,6,2013,0
0,2013-06-27,4,27,6,2013,3
0,2013-06-28,5,28,6,2013,4
0,2013-06-29,2,29,6,2013,5
0,2013-06-30,5,30,6,2013,6
0,2013-07-01,3,1,7,2013,0
0,2013-07-02,3,2,7,2013,1
0,2013-07-03,4,3,7,2013,2
0,2013-07-05,7,5,7,2013,4
0,2013-07-06,2,6,7,2013,5
0,2013-07-07,6,7,7,2013,6
0,2013-07-08,4,8,7,2013,0
0,2013-07-09,11,9,7,2013,1
0,2013-07-10,3,10,7,2013,2
0,2013-07-11,5,11,7,2013,3
0,2013-07-12,10,12,7,2013,4
0,2013-07-13,7,13,7,2013,5
0,2013-07-14,19,14,7,2013,6
0,2013-07-15,8,15,7,2013,0
0,2013-07-16,17,16,7,2013,1
0,2013-07-17,19,17,7,2013,2
0,2013-07-18,47,18,7,2013,3
0,2013-07-19,52,19,7,2013,4
0,2013-07-20,22,20,7,2013,5
0,2013-07-21,24,21,7,2013,6
0,2013-07-22,63,22,7,2013,0
0,2013-07-23,73,23,7,2013,1
0,2013-07-24,66,24,7,2013,2
0,2013-07-25,66,25,7,2013,3
0,2013-07-26,46,26,7,2013,4
0,2013-07-27,30,27,7,2013,5
0,2013-07-28,24,28,7,2013,6
0,2013-07-29,75,29,7,2013,0
0,2013-07-30,78,30,7,2013,1
0,2013-07-31,63,31,7,2013,2
0,2013-08-01,84,1,8,2013,3
0,2013-08-02,43,2,8,2013,4
0,2013-08-03,17,3,8,2013,5
0,2013-08-04,18,4,8,2013,6
0,2013-08-05,45,5,8,2013,0
0,2013-08-06,51,6,8,2013,1
0,2013-08-07,41,7,8,2013,2
0,2013-08-08,23,8,8,2013,3
0,2013-08-09,35,9,8,2013,4
0,2013-08-10,21,10,8,2013,5
0,2013-08-11,21,11,8,2013,6
0,2013-08-12,29,12,8,2013,0
0,2013-08-13,52,13,8,2013,1
0,2013-08-14,29,14,8,2013,2
0,2013-08-15,44,15,8,2013,3
0,2013-08-16,36,16,8,2013,4
0,2013-08-17,18,17,8,2013,5
0,2013-08-18,7,18,8,2013,6
0,2013-08-19,89,19,8,2013,0
0,2013-08-20,44,20,8,2013,1
0,2013-08-21,68,21,8,2013,2
0,2013-08-22,74,22,8,2013,3
0,2013-08-23,72,23,8,2013,4
0,2013-08-24,22,24,8,2013,5
0,2013-08-25,11,25,8,2013,6
0,2013-08-26,33,26,8,2013,0
0,2013-08-27,45,27,8,2013,1
0,2013-08-28,25,28,8,2013,2
0,2013-08-29,30,29,8,2013,3
0,2013-08-30,35,30,8,2013,4
0,2013-08-31,22,31,8,2013,5
0,2013-09-01,29,1,9,2013,6
0,2013-09-02,11,2,9,2013,0
0,2013-09-03,61,3,9,2013,1
0,2013-09-04,39,4,9,2013,2
0,2013-09-05,31,5,9,2013,3
0,2013-09-06,53,6,9,2013,4
0,2013-09-07,16,7,9,2013,5
0,2013-09-08,13,8,9,2013,6
0,2013-09-09,36,9,9,2013,0
0,2013-09-10,23,10,9,2013,1
0,2013-09-11,34,11,9,2013,2
0,2013-09-12,57,12,9,2013,3
0,2013-09-13,34,13,9,2013,4
0,2013-09-14,28,14,9,2013,5
0,2013-09-15,21,15,9,2013,6
0,2013-09-16,27,16,9,2013,0
0,2013-09-17,33,17,9,2013,1
0,2013-09-18,52,18,9,2013,2
0,2013-09-19,44,19,9,2013,3
0,2013-09-20,46,20,9,2013,4
0,2013-09-21,26,21,9,2013,5
0,2013-09-22,21,22,9,2013,6
0,2013-09-23,30,23,9,2013,0
0,2013-09-24,37,24,9,2013,1
0,2013-09-25,24,25,9,2013,2
0,2013-09-26,23,26,9,2013,3
0,2013-09-27,19,27,9,2013,4
0,2013-09-28,22,28,9,2013,5
0,2013-09-29,27,29,9,2013,6
0,2013-09-30,73,30,9,2013,0
0,2013-10-01,46,1,10,2013,1
0,2013-10-02,63,2,10,2013,2
0,2013-10-03,73,3,10,2013,3
0,2013-10-04,59,4,10,2013,4
0,2013-10-05,30,5,10,2013,5
0,2013-10-06,30,6,10,2013,6
0,2013-10-07,73,7,10,2013,0
0,2013-10-08,100,8,10,2013,1
0,2013-10-09,60,9,10,2013,2
0,2013-10-10,67,10,10,2013,3
0,2013-10-11,45,11,10,2013,4
0,2013-10-12,24,12,10,2013,5
0,2013-10-13,31,13,10,2013,6
0,2013-10-14,27,14,10,2013,0
0,2013-10-15,39,15,10,2013,1
0,2013-10-16,37,16,10,2013,2
0,2013-10-17,82,17,10,2013,3
0,2013-10-18,51,18,10,2013,4
0,2013-10-19,43,19,10,2013,5
0,2013-10-20,12,20,10,2013,6
0,2013-10-21,45,21,10,2013,0
0,2013-10-22,72,22,10,2013,1
0,2013-10-23,61,23,10,2013,2
0,2013-10-24,43,24,10,2013,3
0,2013-10-25,37,25,10,2013,4
0,2013-10-26,40,26,10,2013,5
0,2013-10-27,26,27,10,2013,6
0,2013-10-28,63,28,10,2013,0
0,2013-10-29,48,29,10,2013,1
0,2013-10-30,45,30,10,2013,2
0,2013-10-31,32,31,10,2013,3
0,2013-11-01,37,1,11,2013,4
0,2013-11-02,32,2,11,2013,5
0,2013-11-03,18,3,11,2013,6
0,2013-11-04,31,4,11,2013,0
0,2013-11-05,37,5,11,2013,1
0,2013-11-06,53,6,11,2013,2
0,2013-11-07,51,7,11,2013,3
0,2013-11-08,31,8,11,2013,4
0,2013-11-09,25,9,11,2013,5
0,2013-11-10,29,10,11,2013,6
0,2013-11-11,20,11,11,2013,0
0,2013-11-12,59,12,11,2013,1
0,2013-11-13,32,13,11,2013,2
0,2013-11-14,52,14,11,2013,3
0,2013-11-15,40,15,11,2013,4
0,2013-11-16,29,16,11,2013,5
0,2013-11-17,32,17,11,2013,6
0,2013-11-18,45,18,11,2013,0
0,2013-11-19,53,19,11,2013,1
